PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_ID,AVG_DIST_DEF_OFF_RATIO,AVG_DIST_MILES_DEF_MIN,ContestedDREB%,DREBChances,AVGDREBDistance,DFGA,cluster
AJ Johnson,WAS,1642358,0.86,0.0375545851528384,17.4,3.9,7.5,2.0,3
Aaron Nesmith,IND,1630174,0.9878419452887538,0.0397310513447432,18.4,6.2,7.2,2.6,3
Ajay Mitchell,OKC,1642349,0.8897959183673471,0.0388591800356506,22.0,2.6,9.4,1.1,3
Alex Caruso,OKC,1627936,0.9118457300275484,0.0380459770114942,32.3,4.3,8.8,1.7,3
Amir Coffey,LAC,1629599,0.9483870967741936,0.0349583828775267,19.5,3.6,7.8,1.7,3
Andre Jackson Jr.,MIL,1641748,0.9099756690997566,0.0408743169398907,21.6,3.3,7.1,1.3,3
Andrew Nembhard,IND,1629614,0.9807383627608348,0.0398305084745762,10.0,5.0,8.3,2.2,3
Anthony Gill,WAS,1630264,0.8923076923076924,0.0370607028753993,22.2,3.0,7.5,0.4,3
Antonio Reeves,NOP,1641810,0.8958333333333333,0.0362359550561797,22.7,2.5,7.7,0.8,3
Ausar Thompson,DET,1641709,0.961995249406176,0.0386450381679389,26.8,4.8,6.5,1.5,3
Ayo Dosunmu,CHI,1630245,0.8952879581151831,0.0368005738880918,12.6,4.9,9.5,2.6,3
Ben Sheppard,IND,1641767,0.9705882352941178,0.0417721518987341,21.0,3.9,7.8,1.3,3
Bennedict Mathurin,IND,1631097,0.9400798934753662,0.0371578947368421,15.8,6.9,7.7,3.6,3
Blake Wesley,SAS,1631104,0.941798941798942,0.039821029082774,14.3,1.9,7.2,0.4,3
Brandon Boston,NOP,1630527,0.9093198992443324,0.0363544813695871,16.0,3.9,7.3,1.9,3
Brandon Williams,DAL,1630314,0.8917197452229298,0.0380434782608695,22.2,3.6,8.6,1.7,3
Cam Reddish,LAL,1629629,1.0599078341013826,0.0390492359932088,28.6,3.5,10.1,1.5,3
Cason Wallace,OKC,1641717,0.9859594383775354,0.0384896467722289,24.5,4.7,9.7,2.1,3
Chris Duarte,CHI,1630537,0.9666666666666668,0.0391891891891891,13.3,2.3,6.9,0.9,3
Chris Livingston,MIL,1641753,0.96875,0.0397435897435897,25.0,2.3,4.0,0.9,3
Christian Braun,DEN,1631128,0.9025423728813556,0.0364414029084687,16.7,6.0,8.5,2.3,3
Cody Williams,UTA,1642262,0.8976744186046512,0.0390688259109311,14.6,3.8,8.7,2.3,3
Craig Porter Jr.,CLE,1641854,0.9677419354838708,0.0385604113110539,27.0,2.7,7.8,0.9,3
Dalano Banton,POR,1630625,0.9269005847953214,0.0373380447585394,21.4,3.2,6.8,1.2,3
Dalen Terry,CHI,1631207,0.8997214484679665,0.0402241594022415,21.5,2.8,6.4,1.1,3
Davion Mitchell,MIA,1630558,0.9604261796042616,0.0376941457586618,10.4,4.0,10.7,1.7,3
Derrick Jones Jr.,LAC,1627884,0.9029733959311425,0.0364037854889589,21.0,3.9,8.2,2.1,3
Devin Carter,SAC,1642269,0.904,0.0391003460207612,22.4,3.0,6.9,0.8,3
Dillon Brooks,HOU,1628415,0.9611528822055138,0.0351996328591096,21.2,5.6,7.6,2.6,3
Dominick Barlow,ATL,1631230,0.9189189189189187,0.03984375,21.6,3.3,6.7,1.7,3
Enrique Freeman,IND,1642402,0.9193548387096776,0.0410071942446043,23.1,2.7,5.5,1.2,3
GG Jackson,MEM,1641713,0.9281437125748504,0.0381773399014778,10.5,4.2,6.1,1.3,3
Garrett Temple,TOR,202066,0.8831168831168832,0.0371584699453551,10.5,2.3,7.3,0.7,3
Garrison Mathews,ATL,1629726,0.8882175226586102,0.0374045801526717,17.1,3.3,8.0,1.6,3
Gary Payton II,GSW,1627780,0.9689265536723164,0.0423456790123456,27.7,3.9,5.6,1.2,3
Gary Trent Jr.,MIL,1629018,0.9721739130434782,0.0354021532615579,12.6,3.5,8.4,1.2,3
Gradey Dick,TOR,1641711,0.936106983655275,0.0396975425330812,22.1,4.8,8.5,2.3,3
Haywood Highsmith,MIA,1629312,0.9018691588785044,0.0383952254641909,15.2,4.3,8.3,2.2,3
Herbert Jones,NOP,1630529,0.942084942084942,0.0376543209876543,26.8,5.6,8.0,3.1,3
Immanuel Quickley,TOR,1630193,0.8922155688622755,0.0373902132998745,15.7,5.7,7.6,2.1,3
Isaac Okoro,CLE,1630171,0.9820359281437124,0.0389548693586698,29.8,3.2,11.4,1.3,3
Ja'Kobe Walter,TOR,1642266,0.9215189873417722,0.0403100775193798,21.7,3.7,9.2,2.2,3
Jake LaRavia,SAC,1631222,0.9092465753424658,0.0405034324942791,18.2,4.7,6.2,2.2,3
Jamal Cain,NOP,1631288,0.984126984126984,0.0394904458598726,8.8,3.0,7.8,1.4,3
Jamison Battle,TOR,1642419,0.9161073825503356,0.0385593220338983,23.3,3.4,6.8,1.7,3
Jarred Vanderbilt,LAL,1629020,0.949685534591195,0.0388174807197943,22.4,5.1,5.7,2.0,3
Jaylen Clark,MIN,1641740,1.0632911392405062,0.0396226415094339,33.3,1.8,7.2,1.2,3
Jaylen Wells,MEM,1642377,1.0588235294117647,0.0412889131622064,9.1,4.1,8.2,1.8,3
Jaylon Tyson,CLE,1642281,0.8588957055214723,0.0377358490566037,14.3,2.7,6.3,0.9,3
Jazian Gortman,DAL,1641789,0.9583333333333331,0.0403508771929824,0.0,1.3,7.8,0.3,3
Jerami Grant,POR,203924,0.9441535776614308,0.0354986876640419,20.4,5.2,8.5,2.5,3
Jevon Carter,CHI,1628975,0.9677419354838708,0.0389610389610389,11.1,2.4,10.4,0.5,3
John Konchar,MEM,1629723,0.9245283018867924,0.040495867768595,23.7,4.9,5.5,1.5,3
Johnny Davis,WAS,1631098,0.9591836734693876,0.0388429752066115,21.4,2.5,7.6,0.5,3
Johnny Furphy,IND,1642277,0.8749999999999999,0.041025641025641,32.3,2.4,6.6,0.9,3
Johnny Juzang,UTA,1630548,0.8408602150537634,0.0389054726368159,17.5,4.5,7.5,2.2,3
Jonathan Mogbo,TOR,1642367,0.9946236559139784,0.0386221294363256,24.5,5.0,5.9,2.6,3
Jordan Hawkins,NOP,1641722,0.9013282732447818,0.038244766505636,17.7,4.9,8.5,2.9,3
Jose Alvarado,NOP,1630631,0.9130434782608696,0.0374331550802139,11.4,4.2,10.1,1.2,3
Josh Green,CHA,1630182,1.0,0.0408403361344537,11.8,3.6,9.5,1.4,3
Josh Minott,MIN,1631169,0.9423076923076924,0.0385826771653543,34.4,2.6,6.4,0.4,3
Josh Okogie,CHA,1629006,0.945,0.037875751503006,14.5,3.8,8.6,1.5,3
Julian Champagnie,SAS,1630577,0.8998505231689087,0.0372524752475247,20.7,4.8,7.2,2.8,3
Julian Phillips,CHI,1641763,0.9559902200489,0.0405601659751037,25.6,2.7,7.3,1.8,3
Keaton Wallace,ATL,1630811,0.8952879581151832,0.0378318584070796,25.8,3.4,7.8,1.1,3
Keon Ellis,SAC,1631165,0.9790996784565916,0.0390134529147982,17.1,3.7,8.6,2.1,3
Keon Johnson,BKN,1630553,0.9074889867841408,0.0377289377289377,18.8,5.0,7.5,2.7,3
Kris Murray,POR,1631200,1.0057971014492757,0.0405847953216374,24.7,2.8,8.9,1.7,3
Lindy Waters III,DET,1630322,0.8704318936877076,0.0382481751824817,19.5,3.8,7.6,1.2,3
Malaki Branham,SAS,1631103,0.9236641221374048,0.0375776397515527,8.3,2.6,7.4,0.6,3
MarJon Beauchamp,NYK,1630699,0.983050847457627,0.0391891891891891,24.1,1.7,6.2,0.4,3
Max Strus,CLE,1629622,0.8686440677966102,0.0390848427073403,18.7,5.5,7.1,2.0,3
Nickeil Alexander-Walker,MIN,1629638,0.8975356679636836,0.038295517432208,23.1,4.7,9.2,2.5,3
Obi Toppin,IND,1630167,0.8992932862190813,0.0395186335403726,19.9,5.6,5.1,2.4,3
Ochai Agbaji,TOR,1630534,0.990506329113924,0.0407022106631989,14.9,5.2,8.9,2.8,3
Olivier-Maxence Prosper,DAL,1641765,0.8984374999999999,0.0393835616438356,20.7,3.3,7.7,1.3,3
Patrick Baldwin Jr.,LAC,1631116,0.9756097560975612,0.0396039603960396,35.3,1.9,5.7,0.5,3
Pelle Larsson,MIA,1641796,0.9473684210526316,0.0394603709949409,22.9,2.9,7.4,1.2,3
Peyton Watson,DEN,1631212,0.9646182495344504,0.0371859296482412,20.0,5.2,7.0,2.8,3
Quenton Jackson,IND,1631245,0.9527559055118108,0.0414383561643835,9.5,2.6,8.1,0.7,3
Rayan Rupert,POR,1641712,1.0,0.0423076923076923,24.0,2.0,10.3,0.8,3
Reece Beekman,BKN,1641736,0.907142857142857,0.0381381381381381,38.9,1.7,10.3,0.8,3
Reed Sheppard,HOU,1642263,0.8712446351931331,0.0378731343283582,19.1,2.6,7.4,1.1,3
Ronald Holland II,DET,1641842,0.9574944071588366,0.0383856502242152,17.3,3.6,6.7,1.1,3
Ryan Dunn,PHX,1642346,0.9379014989293362,0.0390722569134701,21.7,4.2,6.6,2.1,3
Ryan Rollins,MIL,1631157,0.927038626609442,0.0391304347826087,14.3,3.8,7.5,1.3,3
Sam Merrill,CLE,1630241,0.9523809523809526,0.0385906040268456,25.5,3.5,8.2,1.4,3
Scoot Henderson,POR,1630703,0.9536231884057972,0.0385923753665689,17.6,4.8,8.3,2.5,3
Scotty Pippen Jr.,MEM,1630590,0.9273021001615508,0.0402807017543859,9.6,4.6,8.6,1.2,3
Stanley Umude,MIL,1630649,0.96,0.0369230769230769,9.1,1.7,7.4,0.1,3
Stephon Castle,SAS,1642264,0.9039548022598872,0.0359147025813692,17.8,4.3,8.3,2.2,3
T.J. McConnell,IND,204456,0.8868613138686132,0.0403319502074688,12.2,3.4,9.6,1.1,3
Terance Mann,ATL,1629611,0.90625,0.0370437956204379,17.5,3.9,6.5,2.0,3
Terrence Shannon Jr.,MIN,1630545,0.9384615384615383,0.0366366366366366,25.0,4.1,7.0,0.6,3
Terry Rozier,MIA,1626179,0.8894080996884735,0.0370058327932598,21.8,5.4,8.0,1.6,3
Tim Hardaway Jr.,DET,203501,0.930635838150289,0.0352683461117196,21.7,4.2,8.0,1.6,3
Toumani Camara,POR,1641739,0.9892241379310344,0.0404940449933833,17.1,6.9,7.5,3.8,3
Trevelin Queen,ORL,1630243,0.9108280254777072,0.0370466321243523,21.7,2.1,8.9,1.1,3
Tyler Smith,MIL,1641890,0.9189189189189187,0.0386363636363636,25.0,1.8,5.8,0.8,3
Vince Williams Jr.,MEM,1631246,0.9383561643835616,0.0387005649717514,12.8,4.4,6.8,2.2,3
Wendell Moore Jr.,CHA,1631111,0.8971428571428571,0.0381067961165048,21.8,3.5,6.9,1.2,3
Xavier Tillman,BOS,1630214,0.9240506329113924,0.0352657004830917,10.3,2.9,6.7,1.0,3
Zaccharie Risacher,ATL,1642258,0.930576070901034,0.0405405405405405,17.6,4.7,5.9,3.0,3
Ziaire Williams,BKN,1630533,0.9404096834264432,0.037771129394166,21.3,5.5,6.0,2.3,3
